subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_phase,block_number,stim_frequency,stim_reliability_level
9,grate,Task B ,1,1,0,-4.989124276,0.05,2,253.3043156,0,0,2
9,grate,Task B ,1,1,1,1.758857516,0.05,1,257.423999,0,0,2
10,grate,Task B ,1,1,0,-15.90767533,0.033,2,314.8908155,0,0,1
10,grate,Task B ,1,1,0,-0.904952908,0.033,2,156.9381182,0,0,1
10,grate,Task B ,1,2,0,-1.251376633,0.135,2,181.8581958,0,0,4
10,grate,Task B ,1,1,1,0.953988294,0.05,1,279.3706117,0,0,2
10,grate,Task B ,1,1,0,1.796914825,0.05,2,94.11287774,0,0,2
10,grate,Task B ,1,1,0,-3.673714745,0.067,2,311.0907949,0,0,3
1,grate,Task B ,1,4,1,-1.282843098,0.067,1,128.8931377,0,0,3
1,grate,Task B ,1,1,1,-0.498652219,0.05,1,165.7748499,0,0,2
1,grate,Task B ,1,1,1,-1.789574503,0.05,1,189.6009449,0,0,2
1,grate,Task B ,1,3,1,-1.760118083,0.067,1,47.55900366,0,0,3
1,grate,Task B ,1,2,0,-6.778072471,0.05,2,15.56184664,0,0,2
1,grate,Task B ,1,2,1,4.36202863,0.033,1,117.5011953,0,0,1
2,grate,Task B ,2,1,1,10.95800497,0.135,2,238.7791134,0,0,4
2,grate,Task B ,1,4,0,9.255224187,0.135,2,258.7164811,0,0,4
2,grate,Task B ,1,2,0,17.47214458,0.067,2,174.5130005,0,0,3
2,grate,Task B ,2,2,0,-0.611717437,0.05,1,44.96250447,0,0,2
2,grate,Task B ,2,4,1,19.92889811,0.135,2,13.45306011,0,0,4
2,grate,Task B ,2,3,1,-6.466394671,0.135,2,53.90948818,0,0,4
3,grate,Task B ,1,2,1,-0.507400815,0.033,1,40.37065469,0,0,1
3,grate,Task B ,2,1,0,-1.638480252,0.033,1,92.8441315,0,0,1
3,grate,Task B ,2,2,0,-2.256483805,0.067,1,153.0672989,0,0,3
3,grate,Task B ,1,4,1,-1.936805554,0.067,1,28.32319975,0,0,3
3,grate,Task B ,2,1,1,7.378325424,0.033,2,118.5233654,0,0,1
3,grate,Task B ,1,3,1,0.022716346,0.135,1,20.05023495,0,0,4
4,grate,Task B ,1,3,0,-6.874756258,0.067,2,5.060532052,0,0,3
4,grate,Task B ,2,4,1,-16.94973502,0.067,2,289.8069235,0,0,3
4,grate,Task B ,1,4,1,-0.371640596,0.067,1,275.9589608,0,0,3
4,grate,Task B ,1,1,0,-6.753462221,0.033,2,331.7282305,0,0,1
4,grate,Task B ,1,2,0,-10.52724119,0.067,2,148.0687382,0,0,3
4,grate,Task B ,2,4,1,-13.69859142,0.135,2,98.14265886,0,0,4
5,grate,Task B ,1,3,0,10.28909057,0.033,2,198.2980133,0,0,1
5,grate,Task B ,2,4,1,11.31632895,0.135,2,82.18678846,0,0,4
5,grate,Task B ,1,4,1,-0.755383552,0.05,1,257.5676476,0,0,2
5,grate,Task B ,1,4,1,1.169124079,0.067,1,89.27888072,0,0,3
5,grate,Task B ,1,4,1,0.021039262,0.135,1,88.45730917,0,0,4
5,grate,Task B ,2,4,1,-6.660709005,0.067,2,15.1822852,0,0,3
6,grate,Task B ,1,2,1,-2.572407945,0.135,1,112.1118633,0,0,4
6,grate,Task B ,1,2,0,4.488092152,0.033,2,139.548285,0,0,1
6,grate,Task B ,2,3,1,-17.66166186,0.135,2,252.2196303,0,0,4
6,grate,Task B ,2,3,0,3.899665397,0.067,1,265.4678583,0,0,3
6,grate,Task B ,1,3,1,-0.67851492,0.135,1,107.4164697,0,0,4
6,grate,Task B ,1,3,1,0.993935656,0.135,1,177.6966306,0,0,4
7,grate,Task B ,2,4,0,0.41087138,0.135,1,143.9388589,0,0,4
7,grate,Task B ,2,4,1,19.61390839,0.135,2,242.1253204,0,0,4
7,grate,Task B ,1,4,1,3.483388385,0.033,1,222.201002,0,0,1
7,grate,Task B ,1,4,1,-2.737122701,0.067,1,144.7890729,0,0,3
7,grate,Task B ,1,4,1,2.818393864,0.033,1,305.511372,0,0,1
7,grate,Task B ,2,4,1,19.79276852,0.05,2,149.7504114,0,0,2
8,grate,Task B ,1,2,1,4.639382919,0.05,1,55.76279237,0,0,2
8,grate,Task B ,2,3,1,-5.581437206,0.135,2,223.9935014,0,0,4
8,grate,Task B ,1,4,1,2.489166328,0.135,1,210.6305497,0,0,4
8,grate,Task B ,1,1,0,14.12799698,0.05,2,212.7396981,0,0,2
8,grate,Task B ,2,3,0,0.013324595,0.067,1,84.06822938,0,0,3
8,grate,Task B ,2,3,1,17.85856256,0.067,2,269.8820088,0,0,3
9,grate,Task B ,2,4,0,5.309919317,0.135,1,336.6681424,0,0,4
9,grate,Task B ,2,3,1,-12.64096799,0.033,2,140.4755939,0,0,1
9,grate,Task B ,1,4,0,1.498963779,0.135,2,85.12006759,0,0,4
9,grate,Task B ,2,1,1,16.29698073,0.067,2,164.6394142,0,0,3
9,grate,Task B ,1,2,1,0.822176543,0.067,1,333.9990085,0,0,3
9,grate,Task B ,1,3,1,-2.098392445,0.067,1,66.97994007,0,0,3
10,grate,Task B ,2,3,1,13.18682518,0.067,2,37.14003999,0,0,3
10,grate,Task B ,1,1,0,0.984556397,0.033,2,312.0259036,0,0,1
10,grate,Task B ,1,1,0,-5.755521718,0.033,2,336.156038,0,0,1
10,grate,Task B ,2,1,1,-23.0076793,0.05,2,169.0922551,0,0,2
10,grate,Task B ,2,1,1,18.62814484,0.05,2,158.239848,0,0,2
10,grate,Task B ,1,2,1,0.292015808,0.05,1,23.89666031,0,0,2
1,grate,Task B ,1,3,0,13.60202533,0.05,2,343.7714458,0,0,2
1,grate,Task B ,1,1,1,3.646947215,0.033,1,272.0848613,0,0,1
1,grate,Task B ,1,3,1,3.099143981,0.05,1,262.6979243,0,0,2
1,grate,Task B ,1,2,1,0.804210967,0.05,1,249.7368506,0,0,2
1,grate,Task B ,1,3,0,3.353646194,0.135,2,353.061502,0,0,4
1,grate,Task B ,1,3,1,3.181304478,0.067,1,6.767546813,0,0,3
2,grate,Task B ,2,1,1,-10.84315409,0.067,2,17.23825199,0,0,3
2,grate,Task B ,1,1,1,3.635793084,0.067,1,309.3498052,0,0,3
2,grate,Task B ,1,2,1,-1.001294779,0.067,1,100.5119872,0,0,3
2,grate,Task B ,1,1,1,-0.403456189,0.05,1,85.09100165,0,0,2
2,grate,Task B ,1,2,0,1.698362219,0.067,2,327.2527159,0,0,3
2,grate,Task B ,1,2,1,-5.551338675,0.067,1,103.1333753,0,0,3
3,grate,Task B ,2,4,1,-5.940031492,0.135,2,91.94354234,0,0,4
3,grate,Task B ,2,4,1,12.90902962,0.05,2,23.8766813,0,0,2
3,grate,Task B ,2,1,1,-10.3610388,0.033,2,75.09010586,0,0,1
3,grate,Task B ,2,2,1,7.15597334,0.05,2,41.42858811,0,0,2
3,grate,Task B ,1,3,0,-0.231146033,0.067,2,52.95188871,0,0,3
3,grate,Task B ,1,2,1,-0.034691117,0.033,1,13.95214498,0,0,1
4,grate,Task B ,1,3,1,1.430094989,0.05,1,205.05136,0,0,2
4,grate,Task B ,2,3,1,-2.023002533,0.135,2,213.2345368,0,0,4
4,grate,Task B ,1,3,0,29.06672973,0.033,2,2.51843072,0,0,1
4,grate,Task B ,2,4,1,-12.80455007,0.067,2,38.78898255,0,0,3
4,grate,Task B ,1,2,1,-0.64402289,0.05,1,314.2259466,0,0,2
4,grate,Task B ,2,4,0,1.165793798,0.135,1,63.74849801,0,0,4
5,grate,Task B ,2,4,1,16.85724292,0.05,2,229.1465335,0,0,2
5,grate,Task B ,1,2,0,9.595770709,0.05,2,199.0004178,0,0,2
5,grate,Task B ,1,3,0,-9.322710137,0.05,2,7.625387841,0,0,2
