subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_phase,block_number,stim_frequency,stim_reliability_level,r
5,audio,Task B ,2,4,0,0,9.00E-05,1,203.4557729,0,0.621891042,2,8
5,audio,Task B ,1,1,0,0,4.00E-05,2,169.0610787,0,1.420066731,1,4
5,audio,Task B ,1,3,0,0,0.00041,2,133.7326265,0,0.095793998,4,2
5,audio,Task B ,2,4,0,0,0.00041,1,49.95904952,0,-0.337045807,4,8
5,audio,Task B ,2,1,0,0,9.00E-05,1,297.4874859,0,0.089084185,2,5
5,audio,Task B ,2,4,1,0,0.00041,2,26.65206465,0,2.455125476,4,8
6,audio,Task B ,1,2,0,0,9.00E-05,2,131.1759697,0,-1.497835438,2,3
6,audio,Task B ,1,3,1,0,0.00019,1,257.317311,0,-0.841766891,3,2
6,audio,Task B ,1,3,1,0,9.00E-05,1,173.2889488,0,-0.560127495,2,2
6,audio,Task B ,1,3,1,0,0.00041,1,116.4318331,0,-0.010635406,4,2
6,audio,Task B ,1,2,0,0,9.00E-05,2,95.99765468,0,1.541764804,2,3
6,audio,Task B ,1,2,0,0,9.00E-05,2,202.2100775,0,1.868503898,2,3
7,audio,Task B ,2,4,1,0,0.00019,2,297.0875609,0,-0.926878407,3,8
7,audio,Task B ,2,4,0,0,0.00041,1,93.93429542,0,0.47349376,4,8
7,audio,Task B ,1,1,0,0,0.00019,2,359.0255189,0,-2.456710564,3,4
7,audio,Task B ,1,1,1,0,4.00E-05,1,163.1829782,0,0.038144264,1,4
7,audio,Task B ,1,4,1,0,0.00041,1,242.2199862,0,0.125911085,4,1
7,audio,Task B ,1,1,1,0,4.00E-05,1,131.0181039,0,0.059810516,1,4
8,audio,Task B ,2,4,0,0,0.00041,1,116.9293796,0,0.12047232,4,8
8,audio,Task B ,2,1,0,0,0.00019,1,298.6396309,0,-0.169613191,3,5
8,audio,Task B ,1,1,1,0,9.00E-05,1,224.7151291,0,-0.040439041,2,4
8,audio,Task B ,2,2,1,0,0.00019,2,149.0570427,0,0.617929558,3,6
